date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:22:51	2936/2936	---M--	200	added ('OK')	text/css	etag:%22534c965-b78-5c348d95348e8%22	http://pxdraft.com/wrap/fusion/static/vendor/owl-carousel/css/owl.carousel.min.css	C:/My%20Web%20Sites/fusion/pxdraft.com/wrap/fusion/static/vendor/owl-carousel/css/owl.carousel.min.css	(from http://pxdraft.com/wrap/fusion/static/css/style.css)
11:22:53	72063/72063	UR-M--	200	added ('Partial%20Content')	image/png	etag:%22534c8e7-1197f-5c348d770c0cb%22	http://pxdraft.com/wrap/fusion/static/img/product-2.png	C:/My%20Web%20Sites/fusion/pxdraft.com/wrap/fusion/static/img/product-2.png	(from http://pxdraft.com/wrap/fusion/)
11:22:54	84359/84359	---M--	200	added ('OK')	application/javascript	etag:%22534c962-14987-5c348d9417661%22	http://pxdraft.com/wrap/fusion/static/vendor/mail/js/form.min.js	C:/My%20Web%20Sites/fusion/pxdraft.com/wrap/fusion/static/vendor/mail/js/form.min.js	(from http://pxdraft.com/wrap/fusion/)
11:22:58	49332/49332	---M--	200	added ('OK')	image/jpeg	etag:%22534c8dc-c0b4-5c348d7437ae0%22	http://pxdraft.com/wrap/fusion/static/img/avatar-4.jpg	C:/My%20Web%20Sites/fusion/pxdraft.com/wrap/fusion/static/img/avatar-4.jpg	(from http://pxdraft.com/wrap/fusion/blog.html)
11:23:05	36759/36759	---M--	200	added ('OK')	image/svg+xml	etag:%22534c8e3-8f97-5c348d761d08d%22	http://pxdraft.com/wrap/fusion/static/img/curated-with-care.svg	C:/My%20Web%20Sites/fusion/pxdraft.com/wrap/fusion/static/img/curated-with-care.svg	(from http://pxdraft.com/wrap/fusion/about.html)
11:23:06	12990/12990	---M--	200	added ('OK')	image/svg+xml	etag:%22534c8e4-32be-5c348d75fa5dc%22	http://pxdraft.com/wrap/fusion/static/img/implement-with-components.svg	C:/My%20Web%20Sites/fusion/pxdraft.com/wrap/fusion/static/img/implement-with-components.svg	(from http://pxdraft.com/wrap/fusion/about.html)
11:23:08	131977/131977	---M--	200	added ('OK')	image/jpeg	etag:%22534c8df-20389-5c348d75b7f5a%22	http://pxdraft.com/wrap/fusion/static/img/blog-4.jpg	C:/My%20Web%20Sites/fusion/pxdraft.com/wrap/fusion/static/img/blog-4.jpg	(from http://pxdraft.com/wrap/fusion/blog.html)
11:23:10	17342/17342	---M--	200	added ('OK')	image/svg+xml	etag:%22534c8e2-43be-5c348d75a98e2%22	http://pxdraft.com/wrap/fusion/static/img/clean-code-of-good-designs.svg	C:/My%20Web%20Sites/fusion/pxdraft.com/wrap/fusion/static/img/clean-code-of-good-designs.svg	(from http://pxdraft.com/wrap/fusion/about.html)
11:23:13	5456/5456	---M--	200	added ('OK')	image/svg+xml	etag:%22534c8f1-1550-5c348d78f975f%22	http://pxdraft.com/wrap/fusion/static/img/well-documented.svg	C:/My%20Web%20Sites/fusion/pxdraft.com/wrap/fusion/static/img/well-documented.svg	(from http://pxdraft.com/wrap/fusion/about.html)
11:23:17	97607/97607	---M--	200	added ('OK')	image/png	etag:%22534c8f0-17d47-5c348d78b97ee%22	http://pxdraft.com/wrap/fusion/static/img/Utilising-Sass-variables.png	C:/My%20Web%20Sites/fusion/pxdraft.com/wrap/fusion/static/img/Utilising-Sass-variables.png	(from http://pxdraft.com/wrap/fusion/about.html)
